Title,Star Rating,Main Content,Review Date
Easy as can be,Rated 5 out of 5 stars,"I knew what I needed, found it quickly and had checked out within two minutes ... with expected delivery in less than two days. B&H makes it easy!",2024-05-20T15:26:14.000Z
so easy to buy,Rated 5 out of 5 stars,so easy to buy with great information and good critical product reviews.,2024-05-20T15:21:05.000Z
price is lower than local best buy,Rated 5 out of 5 stars,"price is lower than local best buy, b&h has great customer service, always recieve what i order",2024-05-20T15:11:07.000Z
Always Great!,Rated 5 out of 5 stars,"In fact, the best in the business.",2024-05-20T14:18:51.000Z
I am a regular buyer from BH Photo,Rated 5 out of 5 stars,I am a regular buyer from BH Photo. Experience has always been good.,2024-05-20T09:07:58.000Z
Great shopping experience!,Rated 5 out of 5 stars,Great price!  Great website!  Fast checkout. B&H scores every single purchase.,2024-05-20T07:21:35.000Z
Payment not easy,Rated 3 out of 5 stars,It was impossible to use both a B&H gift card and Apple Pay to reach the total cost.  This forced me to use a regular credit card with the gift card.  They should state that Apple Pay cannot be used in conjunction with a gift card rather than wasting 15 minutes of my time trying it on both their website and app.,2024-05-20T06:20:21.000Z
Great checkout for Canadians,Rated 5 out of 5 stars,Great checkout for Canadians. Like always searching and buying was a breeze.,2024-05-20T04:37:34.000Z
Good price on paper,Rated 4 out of 5 stars,,2024-05-20T04:28:22.000Z
Found my products easily and processed…,Rated 5 out of 5 stars,Found my products easily and processed my order quickly. Hassle free experience !,2024-05-20T04:28:21.000Z
Site is easy to use,Rated 5 out of 5 stars,"Site is easy to use, had what I wanted at a great price.",2024-05-20T04:25:39.000Z
Great selection,Rated 5 out of 5 stars,"great selection, with competitive prices to amazon. I actively tell others about this site when it comes to electronics. Great job guys.",2024-05-20T00:29:26.000Z
had what i wanted in stock,Rated 5 out of 5 stars,,2024-05-19T22:40:20.000Z
Quick and easy,Rated 5 out of 5 stars,,2024-05-19T22:32:44.000Z
B&H always has quality creative…,Rated 5 out of 5 stars,B&H always has quality creative products I need at a competitive price,2024-05-19T22:13:23.000Z
I Can Always Count On B&H Photo,Rated 5 out of 5 stars,I've been a customer with B&H Photo for the past 3 years and I always get quality service. A simple and easy way to purchase online.,2024-05-19T21:44:18.000Z
Fast and reliable service,Rated 5 out of 5 stars,"Fast and reliable service, great products, value for money",2024-05-19T21:20:33.000Z
The best photo shop in North America,Rated 5 out of 5 stars,"I’m Canadian and am a photography enthusiast. I have been for decades, since I was seven years old. Over the years I have owned a plathora of equipment and shopped at the most well known shops in Canada. Now, I mostly do my shopping online. I have tried the usual suspects in Canada and to my great disappointment I find things like poor websites, long waits before shipping is confirmed after purchase, slow shipping, items taken as an order but not in stock and no communication to that, no replies to questions about products. The list unfortunately is extensive. Until this all changes, I recommend Canadian customers buy from B&H Photo Video. I am thrilled to say the aforementioned issues are not issues with B&H. I feel like I’m a valued customer when I get a reply to a question addressed to me personally usually within a few hours. So they’re American you say - so how about the price differences. Well, see it for yourself, very often they are on par with the final out the door price in Canada and are sometimes surprisingly less expensive. Look for yourself. I really like that they have designed an excellent website that gives you the final price in Canadian dollars, along with the option to pay the duties/taxes up front so you know what your out the door cost is. Lovely. No surprises. Easy to use. Someone there looked at their online approach and hit the ball right out of the park. Kudos to them, and their team!Now as far as a photography store goes, they usually have far more inventory available for immediate shipping and a broader range of brands than most stores across Canada and the United States. I just love these guys and gals who make up the company. There’s a reason B&H is highly acclaimed by photographers everywhere, including Canada. I suppose having run a company myself for decades (now retired) makes me appreciate how they do even the little things that much more. Details are always important. As long as I keep getting the level of service I have been, I just won’t shop anywhere else.",2024-05-19T20:54:47.000Z
Easy website,Rated 5 out of 5 stars,,2024-05-19T20:39:52.000Z
Good company,Rated 5 out of 5 stars,Easy ordering and variety of products,2024-05-19T20:15:52.000Z
Fast and easy,Rated 5 out of 5 stars,,2024-05-19T19:06:48.000Z
Selection and Prices Can't be Beat!,Rated 5 out of 5 stars,Navigation and selection at B&H's website (and app) is probably the best around. Being able to filter down the best deals and the ability to find what I need quickly and have free two day shipping just adds to the positive experience. I've bought from B&H for years and have never had a negative experience. I always recommend B&H to my friends and anyone who will listen!,2024-05-19T18:41:07.000Z
They have what I want,Rated 5 out of 5 stars,"They have what I want. The price is good and, the site works well. I've buying from B&H since the pre-internet back of the magazine days. They have it, no shenanigans.",2024-05-19T18:16:04.000Z
Thank you!!,Rated 5 out of 5 stars,,2024-05-19T17:54:39.000Z
Found in stock,Rated 5 out of 5 stars,"Found in stock, the items that I was looking for.And everything is fine during the checkout process with option for mail delivery.",2024-05-19T17:52:21.000Z
so easy to order and quick response in…,Rated 5 out of 5 stars,so easy to order and quick response in shipping....,2024-05-19T16:49:20.000Z
